,article_content,fake_or_satire
94,"April 1: After months of reading fake news from publications such as the New York Times and The Washington Post, Donald Trump was delighted this morning to discover the media was at last covering actual real-world stories.

“I read this morning that they’ve had a bumper spaghetti harvest in Italy this year. That’s true. And another article here says that Big Ben is getting a digital clock. That’s true too – I’ve seen it myself. So good”.

He said it was about time news outlets put forward the facts. “It’s taken them until the first day of April to do it, but the media is finally reporting real news. Now, I’m off to get a fry-flavoured thick shake from Burger King”.

Like this? Donate a few bucks to The Shovel. And follow us on Email | Facebook | Twitter | Instagram

SHARE THIS STORY",Satire
95,"Trump’s First 100 Days Have Had Way More Days Than Obama’s First 100 Days, White House Says

White House spokesperson Sean Spicer says Donald Trump’s first 100 days in office contained the largest number of days ever seen in a President’s first 100 days, period.

In a fiery press conference in the capital, Spicer hit out at critics who claimed Mr Trump’s first 100 days consisted of only 100 days. “There have been literally thousands of days. Tens of thousands perhaps. These attempts to try and minimise the enormous number of days we’ve seen so far is just shameful and wrong,” he said.

Experts have pointed out that Trump’s first 100 days contained exactly the same number of days as Obama’s first 100 days. But Mr Trump labelled those reports as fake news. “Don’t believe what the failing New York Times or the lying CNN tells you. We’ve achieved more days – so many more days – than Obama did in the same time frame. It’s been so tremendous,” he said. “The days have been bigger too. The longest days we’ve seen”.

The next 100 days are expected to be even longer.

Like this? Donate a few bucks to The Shovel. And follow us on Email | Facebook | Twitter | Instagram

SHARE THIS STORY",Satire
96,"In a poignant moment on his Middle East visit, US President Donald Trump took time out to hide his tax returns from the last twenty years in Jerusalem’s holy Western Wall.

While some believed he was filing a building application to have the site demolished and replaced with a Trump Hotel, insiders believe it was actually documents from Inland Revenue proving he had paid no tax.

Mr Trump placed the folded up pieces of paper into a crack in the wall, before saying a short prayer to himself.

Asked about the moment later, Trump said it was a private moment between him and his wall.

Like this? Donate a few bucks to The Shovel. And follow us on Email | Facebook | Twitter | Instagram

SHARE THIS STORY",Satire
97,"War on Drugs: Trump Agrees To Put His Name On Ecstasy Tablets To Ensure Its Business Model Fails

As part of the US Government’s ongoing War on Drugs, US President Donald Trump has generously agreed to lend his name and image to ecstasy tablets to make absolutely certain the associated businesses fail.

It follows similar strategies in the steak, water and university industries.

Analysts say businesses are seven times more likely to go bankrupt once Trump puts his name to them, and have applauded the President’s gesture of lending his name to help stamp out the illicit trade.

“He has a habit of taking flourishing businesses, putting his name on the packaging, and then watching them fail. That’s exactly what we’d like to see with drugs,” a DEA spokesperson said.

Mr Trump has also been asked to launch a pharmaceutical brand, to help end the country’s battle with prescription opioids.

Like this? Donate a few bucks to The Shovel. And follow us on Email | Facebook | Twitter | Instagram

SHARE THIS STORY",Satire
98,"Fresh off his gaffe involving President Andrew Jackson and the Civil War, Donald Trump has made yet another historical faux pas regarding the “War of Northern Aggression.” In an interview with The Red Shtick, Trump regaled us with his other thoughts on the war that an angry Jackson totally saw coming.

Trump has been struggling to defend his comments — widely deemed preposterous, even by St. Landry Parish educational standards — in which he claimed a man who owned as many as 300 slaves would’ve found a way to prevent the Civil War.

The Donald, a member of the Party of Lincoln, elaborated on his recent controversial remarks about how the first Democratic U.S. president, who died 16 years before the Civil War, would have managed to avoid a war the first Republican president could not.

Trump, a noted fan of Kentucky Fried Chicken, explained how Col. Sanders took five loaves of Evangeline Maid bread and two chickens, added his secret blend of 11 herbs and spices, and turned these humble ingredients into delicious meals that lasted an entire winter.

Speaking to our intern Dave Robicheaux, who is paid in Facebook likes, Trump insisted Col. Harland Sanders, whom he called a “tremendous Civil War hero,” once saved an entire army at Valley Forge from certain starvation. Trump, a noted fan of Kentucky Fried Chicken, explained how Col. Sanders took five loaves of Evangeline Maid bread and two chickens, added his secret blend of 11 herbs and spices, and turned these humble ingredients into delicious meals that lasted an entire winter.

Robicheaux attempted to explain to Trump that Col. Sanders was born 25 years after the end of the war, that The Donald seemed to be confusing the food incident with a Biblical story about Jesus feeding the multitudes, and that Valley Forge was neither an encampment nor a battle site during the Civil War.

Upon being confronted with these facts, The Donald abruptly ended his interview with us, and he was last seen headed for a Confederate monument removal protest in New Orleans while screaming about fake news.

Church’s Chicken and Popeye’s Louisiana Kitchen were unavailable for comment.

Incidentally, Trump has promised to deport every worker at those two companies’ restaurants if they don’t share their respective secret recipes with him.

The Red Shtick will update this story as new attacks from the White House on history and our deep-fried way of life develop.",Satire
99,"WASHINGTON—Cursing under his breath as he dug through the assorted documents and folders, Senior Advisor to the President Jared Kushner was frantically searching a desk drawer Wednesday for bold solutions to today’s most pressing issues. “I could have sworn I put my trailblazing approaches to ushering in a new era of prosperity in here somewhere,” said Kushner as he pulled out random sheets of paper and quickly scanned them in hopes some might contain his strategy for bringing the Israeli-Palestinian conflict to a swift, peaceful conclusion or his innovative approach to battling the nation’s opioid epidemic. “Come on, come on. I just saw my visionary infrastructure plan that would create jobs for millions of Americans like a week ago—maybe it’s in the car? Couldn’t hurt to look there at this point.” At press time, Kushner was still unable to locate his notes for dissuading his father-in-law from taking such a soft stance toward neo-Nazism but ultimately decided he wasn’t too excited about that project anyway.",Satire
100,"WASHINGTON—Saying they wished to pay tribute to the legacies of these distinguished, law-abiding Americans, the Trump administration announced Friday that a long anticipated redesign of the $20 bill would honor Harriet Tubman’s owners. “These were patriotic business proprietors who followed the laws of their time to further their economic interests, and this new currency design finally recognizes these enterprising individuals for their success,” said Treasury Secretary Steven Mnuchin at an afternoon press conference, explaining that the bills commemorating those responsible for enslaving the famed abolitionist, Civil War nurse, and women’s rights activist for the first three decades of her life would be in circulation by 2018. “For too long, we’ve overlooked the achievements of these upstanding citizens and prosperous agriculturalists. The new $20 note, which will feature a portrait of the Brodess family on the front and a depiction of the Maryland plantation they operated on the back, will at last give them their proper place in American history.” Mnuchin then sought to assuage any concerns about the decision, assuring those in attendance that the Trump White House was already looking into ways to preserve Andrew Jackson’s likeness by having it replace Abraham Lincoln on the $5 bill.",Satire
101,"WASHINGTON—A new report released Tuesday by the Pew Research Center has found that the country that might completely shut down because the president wants a big wall is somehow considered the best in the world. The study determined that the 241-year-old federal republic, whose entire government may soon cease to function on account of the head of state’s desire for a big, tall, and thick wall stretching all the way from one side of the water to the other side of the water, remains widely viewed as an exemplary nation and the preeminent achievement in democratic governance. The report also revealed that the country continues to be regarded as a paragon of excellence and a refuge for all humanity despite its commander-in-chief risking the loss of billions of dollars in potential revenue and the termination of vital public services because he really, really wants the big concrete wall and wants it now. Researchers confirmed that this nation, which may grind to a halt due to the leader’s demand for a big, giant, cement wall, is absolutely convinced that every other nation should be just like it.",Satire
102,"CHAPPAQUA, NY—Saying it would provide a candid account of her experiences writing an unsuccessful tell-all, sources confirmed Thursday that Hillary Clinton is already working on a follow-up book casting blame for the failures of her previous memoir What Happened. “From my agent negotiating that underwhelming deal with Simon & Schuster, to the graphic designer’s lackluster cover art, to my so-called supporters who couldn’t be bothered to drop $17.99 for the hardcover copy—everyone had a hand in undermining my last book’s success,” reads a passage from the introduction to Clinton’s What Also Happened, which repeatedly decries her prior book’s “indecipherable” font and dedicates an entire chapter to lashing out at her copy editor for making her look like “an idiot third-grader.” “I’ll never forget how Amazon buried me and how Barnes & Noble completely sabotaged me by displaying my book way in the back in that no man’s land by the CDs. Frankly, it’s obvious I got screwed on all sides.” Accusing them of stealing her spotlight, the book reportedly concludes with a long list of every other celebrity who published a memoir in the past year.",Satire
103,"WASHINGTON DC – Months after Trump’s “Muslim ban”, prohibiting the travel from a list of middle eastern and African countries that pose a threat to the U.S, It is being reported that Trump is also pushing towards a “Taco ban”.

Trump’s hatred for illegal immigrants is no secret, specifically Mexicans. Promising to soon have a wall built on the US/Mexico border to keep illegals out. But nobody ever thought Trump’s hatred for Mexicans to ever reach these heights. However, a “Taco ban” wouldn’t be an accurate term for the proposed ban, as Trump is pushing to have most mexican dishes and products to be banned from America, which includes: tacos, tortas, tostadas, quesadillas, horchata, etc. However, according to Trump’s team, tequila is still being intensely debated.



Although later admitting that he is somewhat a fan of the elote man, Trump told the press: “We have to get rid of all the Mexican food. If we want to make America great again, we have to earn the respect we once had. Mexico takes us as a joke because they know we[Americans] love Mexican food, and think we can’t live without Mexican culture, but it’s my job as the president to show them we can, we have to make America great again. We want nothing to do with Mexico. If all the Mexican food is gone, Mexicans will start leaving as well”.

Although many Trump supporters are most likely slowly becoming aware that their president is indeed suffering from some sort of yet to be diagnosed mental disorder, experts believe they will still continue to agree and follow with any of his actions. After recently failing to repeal and replace Obamacare, experts believe Trump felt he had to ban something to feel he was in control again, thus leading to the Taco Ban proposal.

According to Trump, he will issue an executive order for the “Taco ban” in April, as he also did with the Muslim Ban. Stay tuned for updates on the “taco ban” and President Trump.

HUZLERS.COM",Satire
104,"

WASHINGTON DC – The violence in Chicago is no joke, the midwest city has among the highest murder rates in the country, with more homicides in 2016 than New York City and Los Angeles combined, there seems to be no end to the carnage. Since taking office, President Donald Trump has been constantly pushed to take action and help Chicago officials to stop the violence. President Trump has now unveiled his plan to end Chicago’s murder epidemic, and its a very intriguing one.

What’s the plan? A newly released statement by President Trump reveals an unorthodox proposal—a batman-like vigilante. “It’s obvious that Mr. Rahm Emanuel and the CPD aren’t doing a thing to stop their city from becoming a war zone, so we are sending in someone who will, and by that we mean one specially trained individual to take matters into his own hands, and accordingly”, finished Trump. Further details show that Trump and his team, in accordance with the Central Intelligence Agency, have employed a highly trained individual, an expert detective, strategist, spy, hand-to-hand combat, and specializing in the utilization of high-tech equipment, gear, and weapons, to serve as a vigilante in the crime-infested streets of Chicago—a “Batman”, if you will.

The vigilante, code-named ‘REAPER’, will remain anonymous and will operate alone, separate from Chicago’s police department and has been granted special permission from the president to take any action that is deemed necessary to stop the street crime, which includes extortion and even murder without prosecution from Chicago’s judicial system.

REAPER is scheduled to be deployed into the city of chicago sometime during the summer.

HUZLERS.COM",Satire
105,"NORTH KOREA – In the midst of the ongoing nuclear conflict between America and North Korea, According to reports, Kim Jong-Un reportedly admitted that the only reason he hasn’t nuked the United States yet is because his good friend and former NBA star Dennis Rodman lives here.

Everyone knows about the odd friendship between Kim Jong-Un and Dennis Rodman, the two apparently being very close, and Rodman frequently visiting North Korea to chill with the Kimster. Is Dennis Rodman really the only thing that Kim Jong-Un likes about America? Yes.

In a statement, Kim Jong-Un said: “I no nuke America because my good friend Dennis Rodman live there, He said he be upset If i nuke them. We both like Rush Hour, He Chris Tucker and I’m Jackie Chan”

“We owe Dennis our lives”, says Senator Ted Cruz, “One of the best defenders in his time in the NBA and now continuing to defend this country from nuclear war.” finished Cruz. “That’s my dawg” says Rodman, “We go way Back, I bust him in 2K all the time”. Dennis Rodman also stated that he plans to visit North Korea very soon and convince Kim Jong-Un to leave the U.S. alone and bother some other country, Thank you, Dennis.

HUZLERS.COM

Looking for some new threads? Shop at Marvelousattire.com and get FREE shipping in all of the US.",Satire
106,For full functionality of this site it is necessary to enable JavaScript. Here are the instructions how to enable JavaScript in your web browser,Satire
107,"Spicer: “Trump Led BREXIT Successfully Because Of His Upper-Class, Eloquent English Skills”

During Wednesday’s press briefing, White House Press Secretary Sean Spicer gave a strange response when European Commission President Jean-Claude Junker criticized President Donald Trump’s comprehension of world affairs. Last week, Junker warned that more countries may leave the European Union after Trump’s administration applauded Britain’s departure from the EU. “I think the president is very well steeped in world affairs, especially Europe, NATO, all of the issues,” Spicer insisted. “He was a leader in the effort to call BREXIT, as you know.”

Asked to comment on whether there was any connection between President Trump’s position on BREXIT and the fact that the majority of Britain’s citizens voted for leaving the EU, Spicer argued that the British were “smitten” with the billionaire businessman-turned-president’s language skills, and decided to hear him out. “As we all know, President Trump and citizens of the UK haven’t really gotten off on the right foot, so to speak. I think we all remember that, at one point, there was even a petition floating around to ban Donald Trump from entering Great Britain,” Spicer reminded members of the press.

“However, if you were to ask the British today how they felt about our president, I believe you would encounter very different responses,” he continued. “In my personal opinion, it is my belief that the British people became so smitten with the fact that Donald Trump at one point spoke upper-class, eloquent English that they realized he was an okay person. To make matters even more obvious, President Trump is, after all, of Scottish heritage on his mother’s side. So, there’s also that. Now, I’m well aware of the fact that the English and the Scottish don’t always see eye to eye despite being in the same union, but it would seem they have managed to find common ground when it comes to President Donald Trump.”

Asked to elaborate further on Trump’s rumored “eloquent” language skills, the press secretary argued that, even though Trump’s language was a much-disputed point during his campaign, “Donald Trump is known as an extremely hard worker and self-made billionaire.” He also said, “That’s why it comes as no surprise that he was able to improve his language to the point where he became a favorite of the citizens of the country in which our language first originated. And to put that in perspective, we’re talking here about England, which as you all know, has pretty much nothing left to show for other than it’s complicated language rules and extremely broad dictionary.”

“At the end of the day, I’m not going to say that the English voted to leave the EU because Donald Trump said it would be a good idea. However, I would like to believe that deep down, they listened to him and really heard what he was saying precisely because he was speaking very nice in their language. When you compare that to the situation in which they’re debating whether or not they’re going to let him into the country, I think that’s equivalent to climbing Mount Everest in a matter of minutes. It was a huge undertaking. And by the way, the fact that Mount Everest’s summit is just as cold as the British are towards Americans makes it all the more sweeter for him, I would imagine,” Spicer concluded.",Satire
108,"RICHMOND, Va. – Senior officials at the Ukrop’s Flight Facility have announced plans to launch a weather satellite, model RAINBOW-4248CO, this weekend at the Bob Ukrop Space Center in Goochland County, VA.

While the satellite was described as merely meteorological, the launch has been met with outrage from Kroger, a long-standing rival of Ukrop’s Super Markets and Homestyle Foods. Top officials quickly responded with a statement condemning the launch and calling for an international response to Ukrop’s’ space program.

“We’ve seen this kind of aggressive behavior from Ukrop’s before,” commented Kroger Bakery Defense Minister Col. William T. McPearson. “Those bastards have been trying to steal our recipes for decades. We’re not falling for it and we promise you, we will respond.”

Tensions between the two companies have escalated in recent years after Ukrop’s was purchased by competitor Martin’s Food Markets. Both Martin’s and Kroger carry Ukrop’s’ line of baked goods, though this is mostly seen as a form of grocery appeasement in response to increasingly belligerent posturing by the defunct local store.

“Our Rainbow Cookie satellite is purely for measuring climatic phenomena,” responded Mason Detweiler, the Chief Space Commissioner for Ukrop’s. “We’re a peaceful bakery looking to study clouds, nothing more.”

There is speculation among the League of Grocers that the Ukrop’s satellite will instead be laden with advanced surveillance technology. “Listen, we’ve looked into sanctions, we’ve looked into baked intervention,” commented Dr. Nancy Fitzgerald, acting Chairwoman of the Ukrop’s watchdog group BakeWatch. “At the end of the day, Ukrop’s is a sovereign company that bakes delicious, fluffy rolls, but if they violate the Cakes & Cookies Agreement of ‘82 we’ll be watching and we’ll take action.”

Many see the launch as a last-ditch attempt at glory for a once super market. Many in the baking community are hoping for a speedy de-escalation of the Ukrop’s/Kroger tensions. “We’ve lost a lot of good cakes over the years,” added Col. McPearson, “We’re ready for peace. But we’re also ready for war.”",Satire
109,"NELSON CO, Va. – Reports are coming in that a Virginia resident combated a sudden house fire by spitting copious amounts of his batch of homemade moonshine onto the burning blaze. Tom Wallace, a Nelson County native, thought he had met his match this past weekend when he suddenly found himself surrounded by an uncontrollable fire. Wallace, however, wasn’t going let his hillside home turn into ashes. “My ol’ hickory moonshine can cure damn near anything,” Wallace commented. “I happened to be mid-swig of some of my Virginia lightning when all of a sudden I done smelt some smoke near the garage. My first thought was ‘Damnit, did I leave the grill on again?’ but before I knew it I was face to face with the devil’s hellfire.” Wallace, who was nowhere near any source of water, resorted to spitting his moonshine onto the fire in an effort to subdue it. “I ain’t about to let no fire take my house away,” slurred Wallace, who managed to walk away from the disaster with only minor burns. However, despite his best efforts, Wallace’s house was eventually fully engulfed by the flames when he hurled the rest of his bottle at the fire in a fit of callous rage.

Share this: Twitter

Facebook

Like this: Like Loading... Related",Satire
110,"RICHMOND, Va. — The League of the South, a neo-Confederate group, has commissioned a series of Snapchat filters in an attempt to connect with potential Millennial and Generation Z converts. These location-specific imaging filters, or “geofilters,” can be used at well-known Confederate landmarks throughout the South.

RELATED (article continued below):

Ballenger Motorsports has been providing PPE gear (at cost) to first responders, hospitals, and the general public throughout the COVID-19 pandemic. Learn more about their project here.

One of the most popular filters can be found at Richmond’s own Robert E. Lee statue on Monument Avenue. Here visitors can be turned into General Lee and placed in front of a Confederate flag background. In addition to the full beard and dandy comb-over, the filter also provides a voice-changer, altering the user’s voice to a deep southern drawl with just a tinge of genteel racism.

Snapchat produces imaging filters that can accommodate more than one individual, often applying a different effect to the less prominent face in the photo. In the case of the Robert E. Lee filter, the secondary subject dons a virtual Confederate infantry uniform, complete with a layer of lice bites and dysentery-induced sweating.

Adolf McCreary, a member of the League of the South, traveled all the way from Winchester to take a picture in front of the infamous statue.

“Those libtard pussies are denying their southern heritage. We’re giving everyone the chance to feel like a true American hero,” McCreary explained. “The South with rise again. Virtually, that is.”

City spokesperson Laura Smithson released a statement regarding the controversial Snapchat filter: “The City of Richmond wants it clear that it does not condone the use of these divisive Snapchat filters. Richmond is committed to keeping an environment that is welcoming and safe for people of all races and creeds. We absolutely do not support any attempt to divide or alienate the people of this great city.”

In response to the news that there has been an increase in the number of “alt-right” individuals having their asses kicked as a result of using the Lee Snapchat filter, Smithson responded in a monotone, “Oh no. Gosh, that’s terrible. Geez. Stop. Please. No.”

In an attempt to draw attention away from the League of the South’s social media ploy, the City of Richmond has decided to release its own youth-appealing Snapchat filters. A few blocks down from the Lee statue at the intersection of Monument Avenue and Roseneath Road, Snapchat users can superimpose their face on the animated, tennis racket-swinging body of Arthur Ashe surrounded by a crowd of cowering Bitmoji children.",Satire
111,"HANOVER, Va. – Following a damning report by Richmond City Police tying Hanover County to the Putin administration, the City of Richmond has begun the process of imposing strict economic sanctions on the county. “We are deeply concerned by Hanover’s blatant disregard for county sovereignty and have launched our own internal investigation,” said City Council member James Jackson.

The announcement was met with praise by the council which has been seen as weak on Hanover following its annexation of King William county. The severe sanctions will put pressure on Hanover’s delicious berry and haunted hayride industry and are aimed at curbing the county’s aggressive posturing in recent months. “We categorically deny any such lies and will continue to act as an independent county free of any Russian ties,” commented Hanover mayor Kenneth Mathews, “My hunting trips with my friend Vladimir are part of any healthy personal friendship.”

In response the Hanover County Sheriff’s Department was seen placing new surface-to-air missiles along the Hanover/Mechanicsville border.",Satire
112,"WASHINGTON — In a move that threatened to upset weeks of strenuous deliberation, Sen. Tim Kaine, D-Va., submitted a bold resolution to the floor asking that the debt ceiling be raised. While Kaine’s resolution asked for an increase of a mere $2, it noted that these additional funds would be specifically allocated for the purchase of a single Virginia Lottery scratch card.

The senator insisted that this resolution, if passed, could pay out big dividends.

“I cannot tell you how many times in my youth I had my back to the wall, wondering where my next big break would come from and got pulled out of the fire by a scratcher,” Kaine explained. “If we lose, we only lose two bucks, but if we win, oh boy, then we win big,” the senator concluded as he clutched the sides of the podium with white knuckles.

He went on to assure the Senate body that his plan represented a far less risky strategy than the other proposed resolutions and stated that “investing and stuff is hard and confusing.”

As they argued against the resolution, many senators pointed out that they had recently noticed an abundance of crumpled scratchers cluttering Kaine’s desk in the Senate Chamber.

In the end, the resolution was shot down in favor of buying 10 new multi-million dollar fighter jets.",Satire
113,"0

AUGUSTA, Maine –

Maine has been in the news all year for legalizing marijuana for recreational use, and apparently legalizing weed was only the beginning. Following on the heels of the wave of marijuana legalization, some might be surprised to hear that Maine state legislature has decided to legalize the popular street drug Ecstasy. Recreational use of will become fully legal in the state by the end of this year.

The decision was met with controversy but “no more or less than the original decision to legalize marijuana,” Governor Paul LePage stated.

The state is still working out some guidelines and ground rules for suppliers, such as purity levels, permits, and health code requirements. While LePage says the vote was popular among a lot of people in the state, his decision came as a shock for many Mainers. Governor LePage did not comment on whether or not he partakes in the drug himself.

“By legalizing, monitoring, and taxing ecstasy, we will not only cut down on inmates and care costs, it will also open up a whole new job market,” LePage explains. “It’s a good situation all around, especially for taxpayers.”

Some of the most outspoken opponents, however, have been current drug dealers.

“Making it legal is a terrible idea,” a dealer, who chose to remain anonymous, told Empire News. “We don’t want regulated. We’re killing it stacking paper right now, but regular guys like me won’t be able to keep up with all the government regulations. This is gonna put me out of a job!”

Despite the negative press, experts estimate this legalization will drop the state’s debt by as much as 50% in the first year. This may translate into tax cuts, more public projects, better road maintenance, and possibly even government rehabilitation programs for more dangerous drugs like cigarettes.

“If they want people to not buy drugs legally, then for crying out loud they should shut down every Starbucks in the United States,”said LePage. “Marijuana, ecstasy, crack…hell, what’s the difference? The revenue the state will bring in, it’s astronomical. Health is one thing, but we’re talking about money here.”

0

Comments

comments",Satire
114,"0

WASHINGTON, D.C. –

President Trump announced late last night that congress voted 322 to 105 in favor of dismantling the statue of liberty, due to its “misleading statements” engraved on the pedestal.

The statue reads: “Give me your tired, your poor, your huddled masses yearning to breathe free, the wretched refuse of your teeming shore. Send these, the homeless, tempest-tost to me, I lift my lamp beside the golden door!” According to Americans Against Illegal Immigration, along with our Republican Congress and Donald Trump, this statement misleads immigrants from other countries. It may have them believing they are welcome into America at any time.

“We do not want to allow the tired, poor and homeless into this country. We have enough of those already,” said President Trump. “If they’re tired, poor, and homeless in their own country, what makes you think they’ll do any better over here?Guarantee you they will go on welfare and rob people to survive. That’s what they do. I cannot Make America Great Again if we’re always feeding the hungry from other countries.”

The dismantling of the Statue of Liberty is set to begin March 1, 2018. It is estimated it will take two months to dismantle, then released for shipment back to France by the end of next year. The Statue of Liberty has been seated on Liberty Island in the middle of New York Harbor since October 28, 1886.

The New York historical Museum has already vowed to occupy the area around the historic site for a “sit in” type protest where they will handcuff one another to form a complete circle around the base of the statue.

“They cannot tear it down if we form an unbreakable human barrier,” said José Ramirez, president of the Immigrant Resource Center of New York. “As Patrick Henry said, ‘Give me liberty, or give me death!’ We are not backing down.”

0

Comments

comments",Satire
115,"0

WASHINGTON, D.C. –

In a move that nearly everyone called “totally retarded,” President Trump stood out on the White House balcony during the solar eclipse, and stared directly into the sun. White House physician, Dr. Mark Campbell, now reports that Donald Trump has lost nearly 50% of his vision in one eye.

“President Trump was warned that staring at the sun could cause serious damage, but he assumed it was fake news,” said Dr. Campbell. “Since the eclipse, Trump’s vision has become worse and worse, with a noticeable deterioration of his retina. There is no reversing it.”

Dr. Campbell went on to say that Trump’s left eye experienced some damage as well, but that the right eye sustained the brunt of the damage.

0

Comments

comments",Satire
116,"0

WASHINGTON, D.C. –

President Donald Trump has admitted that the real reason he banned transgenders in the military is because he has begun his transition into a woman, and said he was “scared” he might have to serve in the military.

“I already dodged the draft, made my way through life without ever having to serve in the military, so there was no way I was going to ever have to deal with possibly engaging in real combat,” said President Trump. “It worked out that I was planning on becoming a woman, as I’ve known for some time that I was not comfortable as a man. I mean, I’m not a faggy peter-puffer or anything. I still love grabbing women by the pussy. I just like to tuck it back and throw on a nice dress.”

When he was informed that he is well past the age of being drafted in the likely case that he leads the country into war, Trump was noticeably embarrassed.

“Nobody tells me anything about how this stuff actually works,” said our Commander-in-Chief. “Either way, I cannot wait for everyone to meet the new Donald. I think I’m going to go with the name Donna.”

0

Comments

comments",Satire
117,"0

WASHINGTON, D.C. –

Senator John McCain shocked the entire country by voting NO on the Obamacare repeal on the Senate floor the other day, but even though he made a wave of new fans from the left, he is now saying he made a mistake, and that his brain tumor is to brain.

“I momentarily lost my senses, and literally couldn’t remember which way was up, and which was down,” said McCain, speaking from his home, where doctors have put him on bedrest. “I meant, of course, to vote TO repeal it, as was the plan. As I’ve mentioned before. There’s nothing that Republicans like doing more than screwing the entire country, and so naturally I should have given a thumbs-up. I swear I did. This brain tumor is really taking its toll.”

Unfortunately, the vote sticks as-is, unless a majority calls for a new vote sometime in the next 90 days.

“I think at that vote, I may abstain,” said McCain. “If I’m still alive, I really don’t want to mess this up again, and you never know how my vote might go.”

0

Comments

comments",Satire
118,"After the recent Charlottesville massacre many civil war monuments have decided to pack up camp and make a run ahead of the waves of Neo-Nazis. It appears even the blood lust slavers of the Old South can't stand the odor of the new wave of US Neo-Nazis. All over the country they are uprooting themselves and hitching rides on passing trucks heading north to where it is safer.

Spokesperson for the Civil War Monuments, the Curator said that ""they had a video hookup of many monuments including Lee, Stonewall Jackson and other Deep South legacy commanders. They all agreed that the threat to their legacy of being a warning about inhumane policies like slavery was at risk"".

The monuments are freaked out about Neo-Nazi psychos usurping their memory for their dirty white supremacy agenda. ""sure we had slaves and slaughtered women and children like lame dogs, but we were never as bad as these new breed of psychos"", they collectively lamented.

Deep South Monument Shelters are being established as north as possible for escaping monuments to find a friendly landing spot and be among mutual friends. They were offered a hiding place in Washington DC but all categorically refused saying it was just plain too insane in that town and they preferred a quiet park somewhere to live out their legacy days.",Satire
119,"After the president Unpresidentially resorted to rhetoric usually ascribed to lunatic dictators in response to North Korea's typical ""give me money"" antics, the Joint Chiefs of Staff decided that preventative measures needed to be taken.

Newly minted Secretary of Defense Jim Mattis wasted no time corralling the often unbridled Commander in Chief. ""Since, the President is unaccustomed to the fine art of diplomacy we have taken the necessary steps to make sure he doesn't accidentally write a check that America's butt doesn't really want to cash.""

The Secretary was believed to be referring to the new White House policy of hiding the nuclear codes inside a book. The thought being, there is a 0% the president will ever open a book, even if he feels like nuking somebody.

General Joe Dunford explained, ""We originally were going to hide it in the President's own Bible, but then we realized he might start waving it around when his conservative base starts to figure out the last time the President was in church he was in diapers, and we don't mean depends.""

It was determined that the safest book to hide it in was War and Peace, because, ""it was big enough that there was no chance Trump would risk picking it up to show how tiny his fingers are, much less consider reading the thing.""

Deputy Secretary of Defense, Pat Shanahan explained that they also took measures to remove all markers from the Oval Office to prevent the president from writing the codes on his hand. ""It was a bit of a habit he was getting into,"" the Deputy Secretary explained. ""It usually worked itself out, since he wipes his mouth with his hands after lunch, and the grease from the fried chicken usually smeared a few of the characters so he couldn't read it. Our concern then became, what if he requested the codes during one of his 3:00 a.m. tweet storms, and decided to fire off a few weapons before breakfast?""

The nuclear suitcase that is always at the president's disposal was also addressed. ""We just put baby locks on it,"" Mattis explained. ""Through direct experience with the President we have observed that if anything takes him more than two minutes to figure out he usually loses interest in. It's kind of like dealing with an orangutan."" Secretary Mattis reaffirmed his confidence that there was no way that Trump could figure out baby locks within that narrow of a time frame, even with his ""baby-sized fingers.""

""Listen, the President has the same freedom of speech as every other American, so he can talk all the fire and whatever the hell else he wants. We just want to make sure that when he sounds off like a total tool bag he doesn't accidentally start World War 3.""",Satire
120,"Mexican president Enrique Nieto has declared a state of emergency as droves of Trump supporters are forcing their way through the US-Mexico border early Tuesday morning.

[adinserter block=”5″]With Trump already falling behind in precincts across America, an unprecedented mass exodus of Trump supporters have overwhelmed border guards at the US-Mexico border.

An official with the Trump campaign, speaking under the condition of anonymity reports, “many of our supporters fear new reports that ‘Hillary is stopping at nothing to rig the elections, so she can become president and take revenge upon her political enemies’.",Satire
121,"Southeast Texas is suffering from the effects of Hurricane Harvey, the National Weather Service calling it the worst and most unprecedented storm to hit Texas of all time.

Is this random storm beyond scientific knowledge and prediction a true phenomenom, or is it actually a supernatural event meant to punish Texans for voting for Donald Trump?

[adinserter block=”3″]The answer is ‘yes’, according to a now fired professor from the University of Tampa.

For years, conservatives seemed to giggle with glee as they questioned if Obama was the antichrist on televised news and casually blamed harsh winters and hurricanes and any other weather on his Kenyan magic, weather machines meant to ‘torment Christians’, of their favorite, blame it on the gays.

The professor took to Twitter to try his hand at the blame game and failed.

https://www.nbcnews.com/politics/white-house/professor-fired-blaming-harvey-texas-voting-gop-n797181

This Should Be proof it does not work two ways. What is happening in Texas should make people want to come together and there is no time to be petty with making fun of Melanie Trump for wearing photoopped stilletis or claiming Trump is excited about the Hurricane because it boosted his approval ratings, gave him a few photo opportunities and a chance to pardon Sherriff Joe while the nation is distracted.",Satire
